CustomerID,RetentionPotential
C37869,Low
C33841,Low
C29464,Low
C28158,Low
C22785,High
C18155,Low
C40417,Low
C40335,Low
C19744,Low
C38412,Low
C13254,Low
C15048,Low
C34704,Low
C22780,Low
C25681,Low
C32522,Low
C20605,Low
C19510,Low
C18282,High
C39437,Low
C29197,Low
C15439,Low
C36657,Low
C31422,Low
C30171,Low
C40124,Low
C40215,Low
C25766,Low
C32499,Low
C31603,Low
C26237,Low
C38522,High
C21064,Low
C27922,Low
C13675,Low
C18149,Low
C22846,Low
C40866,Low
C33095,Low
C39368,Medium
C40499,Low
C20493,Low
C30686,Low
C12913,Low
C14655,High
C24493,Low
C31389,Low
C26657,Low
C15011,Low
C19915,High
C18046,Low
C13889,Low
C41035,Low
C41568,Low
C37338,Low
C40246,Low
C40451,Low
C16092,Low
C26280,Low
C20050,Low
C19720,Low
C33745,Low
C32670,Low
C36747,Low
C38236,High
C30479,Low
C21744,Low
C28821,Low
C13958,Low
C35749,Low
C34558,Low
C35621,Low
C39197,High
C27418,Low
C41346,Low
C16281,Low
C21179,Low
C16561,Low
C26273,Low
C32015,Low
C18630,High
C17231,Low
C26155,Low
C40305,Low
C19591,Low
C24950,Low
C37519,Low
C29232,Low
C17918,Low
C23762,Low
C18211,Low
C25772,Low
C37097,Low
C22973,Low
C19204,Low
C38656,Low
C15851,Low
C13974,Low
C41302,Low
C42188,Low
C26898,High
C12470,Low
C20435,Low
C20632,High
C20575,Low
C24559,High
C38291,Low
C32596,Low
C13690,Low
C20485,Low
C38794,Low
C23922,High
C38752,Low
C16108,High
C16810,Low
C19909,Low
C20573,Low
C36498,High
C15047,Low
C38957,Low
C36710,High
C40507,High
C19192,Low
C37264,Low
C15458,Low
C14125,Low
C23711,Low
C21236,High
C36119,Low
C24011,Low
C34820,Low
C24921,High
C22215,Low
C29471,Low
C21809,Low
C38303,Low
C36945,Low
C14123,High
C26128,High
C25386,Low
C29079,Low
C23536,Low
C21556,Low
C41020,Low
C26821,Low
C41891,Low
C16856,Low
C26515,Low
C37428,Low
C40814,Low
C23181,Medium
C24784,Low
C37606,Low
C23575,Medium
C41988,Low
C35199,Low
C41967,Low
C32453,Low
C38954,Low
C25723,Low
C40007,High
C16656,Low
C31997,Low
C27395,High
C16412,Low
C23694,Low
C24692,Low
C36445,Low
C32186,High
C18754,Low
C18150,Low
C16016,Low
C25028,Low
C16389,Low
C29123,High
C12836,Low
C30647,Low
C41255,Low
C20346,Low
C38718,Low
C25881,Low
C26363,Low
C34092,Low
C31531,Low
C34218,Low
C25563,Low
C25242,Low
C25422,High
C17254,Low
C25080,High
C38821,Low
C39287,Low
C30590,Low
C33172,Low
C39261,Low
C33002,Low
C38642,Low
C33767,Low
C31676,Low
C12331,Low
C20103,Low
C36454,Low
C21453,Low
C19574,Low
C31301,High
C14981,Low
C26235,Low
C41301,Low
C16734,Low
C20581,Low
C18936,Low
C14319,Low
C26937,High
C31649,Low
C14802,Low
C31867,Low
C23806,Low
C23908,Low
C14878,Low
C26617,Low
C21039,Low
C31400,Low
C23513,Low
C41298,Low
C15252,Low
C18332,Low
C15245,Low
C39427,Low
C18193,Low
C31103,Low
C30789,High
C23306,Low
C18293,Low
C13825,High
C13687,Low
C40039,Low
C31337,Low
C41256,High
C37725,Low
C38084,Low
C40003,High
C27681,High
C34841,Low
C29086,Low
C30659,Low
C30408,Low
C17750,Low
C37045,Low
C12267,High
C35805,Low
C13784,Low
C33487,Low
C29063,Low
C23145,Low
C39234,Low
C25176,Low
C29543,Low
C17480,Low
C31566,Low
C32654,High
C29402,Low
C29192,Low
C24899,Low
C41180,Low
C13390,Low
C18634,Low
C39551,High
C36708,Low
C17149,Low
C38769,Low
C28722,Low
C22273,Low
C30065,Low
C20506,Low
C24830,Low
C29807,Low
C30997,Low
C41470,Medium
C41387,Low
C19131,Low
C21287,Low
C35011,Low
C12536,High
C36034,Low
C17317,High
C20886,Low
C21523,Medium
C17667,Low
C29431,Medium
C33485,Low
C20229,High
C28559,Low
C33848,High
C12743,Low
C17800,Low
C41289,Low
C32266,Low
C18697,High
C41602,High
C33615,Medium
C18228,Low
C33968,Low
C12254,Low
C35829,High
C38972,Low
C13984,Low
C37762,Low
C34049,Low
C24497,Low
C33442,Low
C32687,Low
C19123,Low
C32954,High
C38573,Low
C40099,Low
C21562,Low
C34716,Low
C24840,Medium
C20295,Low
C22660,High
C12920,Low
C38383,Low
C41502,Low
C38874,Low
C25859,Low
C36486,Low
C31525,Low
C23105,Low
C35166,Low
C22296,High
C26521,Low
C17068,Low
C37130,Medium
C22620,Low
C33407,Low
C39262,High
C17384,Low
C39767,Low
C24668,Low
C31557,Low
C25334,Low
C13496,Low
C31471,Low
C30306,Low
C15976,High
C36322,Low
C19491,Low
C19331,Low
C36822,Medium
C28782,Low
C18572,High
C25886,High
C13566,Low
C25472,Low
C14674,Low
C16609,Low
C35361,High
C22890,Low
C12408,Low
C37316,Low
C27449,Low
C39625,High
C40278,Low
C17326,Low
C14482,Low
C30788,Low
C34987,High
C40571,Low
C22058,Low
C37294,Low
C17160,Low
C12430,High
C17286,Low
C23456,Low
C34563,Low
C39996,Low
C14918,Low
C19149,Low
C38640,Low
C33286,Low
C13633,Low
C40397,Low
C30377,Low
C31852,Low
C32362,High
C28571,Low
C36807,Low
C16536,Low
C20615,Low
C41240,Low
C33358,Low
C16658,High
C15964,Low
C16509,Low
C31549,Low
C30826,High
C16944,Low
C23530,Low
C35797,Low
C13009,High
C40038,Low
C21480,Low
C35727,Low
C29172,Low
C21263,Low
C13176,Low
C40578,Low
C35420,Low
C33794,Low
C19501,Low
C41786,Low
C14867,Low
C18618,Low
C26625,Low
C24707,Low
C22712,Medium
C21080,Low
C41731,Low
C27458,Low
C12677,Low
C14841,Low
C41769,Low
C38561,Low
C33181,Medium
C18641,High
C33748,Low
C24075,Low
C38332,High
C17618,Low
C31120,Low
C20263,Low
C37707,Low
C31109,High
C25565,High
C18025,Low
C40907,Low
C26366,High
C19406,Low
C22527,Low
C29526,High
C18397,Low
C13504,High
C14364,Low
C33731,High
C16621,Low
C38419,Low
C13319,Low
C26735,Low
C40823,Low
C40491,Low
C42145,Low
C38293,Low
C20313,Low
C41120,Low
C18646,Low
C33506,Low
C31511,Low
C15516,Low
C37009,Low
C39604,Low
C31151,High
C36014,Low
C17968,Low
C29114,Low
C39802,Medium
C12625,High
C27271,Low
C21968,Low
C25511,Low
C26973,Low
C24296,Low
C40140,High
C40398,Low
C26790,High
C25754,Low
C22425,Low
C40882,Low
C16316,Low
C17654,High
C38913,Low
C12669,Low
C23138,Low
C35065,Low
C30281,Low
C26271,Low
C34425,Low
C21726,Low
C28162,Low
C19104,Low
C16888,Low
C16126,Low
C33854,Low
C28193,High
C17675,Low
C18438,High
C14550,Low
C41760,Medium
C30328,Low
C15463,Low
C25404,Low
C33962,Low
C28756,Low
C27371,High
C17516,Low
C25319,Low
C18588,Low
C41057,Low
C41561,High
C28061,Low
C20698,Low
C41229,Low
C39906,Low
C40318,Low
C40711,Low
C29284,Low
C23992,Low
C34927,Low
C26162,Low
C33460,Low
C13354,Low
C20058,Low
C17069,Low
C32013,Low
C15289,Medium
C37567,Low
C31020,High
C40977,Low
C12740,Low
C12196,Low
C27712,Low
C24174,Low
C20908,Low
C17840,Low
C34535,Low
C29884,Low
C36818,Low
C12368,Low
C12943,Low
C27544,Low
C13450,Low
C30084,Low
C25587,Low
C18196,Low
C21274,Low
C37028,Low
C25983,High
C33832,Low
C13293,High
C34348,Low
C33215,Low
C37643,Low
C17805,High
C33761,High
C16934,Low
C29848,High
C18011,Low
C16729,Low
C14935,High
C21849,Low
C22652,Low
C12426,Low
C34163,Low
C12621,Low
C26902,Low
C21815,Low
C20894,Low
C39400,Low
C26164,Low
C36344,Low
C27471,High
C29055,Low
C22045,Low
C31742,Low
C40198,Medium
C13649,Low
C21735,Low
C36537,High
C41471,Medium
C28012,Low
C15988,Low
C26952,Low
C14039,Low
C36626,Low
C18060,Low
C21318,Medium
C28106,Low
C18401,Low
C17663,High
C21229,High
C25557,Medium
C22231,Low
C25236,Low
C24267,High
C18349,Low
C20441,Low
C20192,Low
C25577,Low
C39312,High
C24923,Low
C41618,Low
C12853,High
C18991,Low
C34411,Low
C15260,Low
C33393,High
C13430,Low
C15326,Low
C19050,Low
C32476,Low
C37144,Low
C32742,Low
C37401,Low
C17559,Low
C29072,Low
C24844,Low
C16313,Low
C16245,Low
C30037,Low
C38892,Low
C42039,Low
C13021,Low
C14248,Low
C25653,Low
C15831,Low
C20649,Low
C16748,Low
C18766,Low
C35551,High
C25725,Low
C39999,Low
C38566,Low
C37179,Low
C19805,Low
C17380,Low
C35115,High
C37081,High
C13396,High
C41065,High
C33535,Low
C16374,High
C38369,High
C20270,High
C36041,Low
C25927,Low
C29011,Low
C23564,Low
C24365,Low
C41528,High
C25520,High
C33865,Low
C37917,Low
C17794,Low
C22122,Low
C26137,Low
C22251,Low
C15969,Low
C13952,High
C13195,Low
C36844,Low
C37811,Low
C12973,Low
C36456,Low
C30034,Low
C22236,Low
C26194,Low
C21160,Low
C20655,High
C16072,High
C40170,Medium
C41529,Low
C19767,Low
C41209,Low
C39706,High
C16319,High
C22414,Low
C13511,Low
C34484,Low
C33158,Medium
C33577,Low
C16119,Low
C14507,High
C35408,Low
C24962,Low
C25899,High
C25699,Low
C22553,Low
C19540,Low
C39227,Low
C15235,Low
C29144,Low
C38943,Low
C38140,Low
C35995,Low
C18975,Low
C23102,Low
C27472,High
C32153,High
C25476,Medium
C29314,Low
C28319,Low
C20068,High
C28854,Low
C29164,Low
C38411,Low
C20516,Low
C24639,Low
C33709,Low
C37552,Low
C37439,Low
C17871,Low
C29704,Low
C28750,Low
C30682,Low
C35308,Low
C17347,High
C33209,High
C31911,Low
